,0
562,sad
563,sad
564,sad
565,sad
566,sad
567,sad
568,angry
569,angry
570,angry
571,angry
572,angry
573,angry
574,angry
575,angry
576,fear
577,fear
578,fear
579,fear
580,fear
581,fear
582,fear
583,fear
584,disgust
585,disgust
586,disgust
587,disgust
588,disgust
589,disgust
590,disgust
591,disgust
592,surprised
593,surprised
594,surprised
595,surprised
596,surprised
597,surprised
598,surprised
599,surprised
600,neutral
601,neutral
602,neutral
603,neutral
604,calm
605,calm
606,calm
607,calm
608,calm
609,calm
610,calm
611,calm
612,happy
613,happy
614,happy
615,happy
616,happy
617,happy
618,happy
619,happy
620,sad
621,sad
622,sad
623,sad
624,sad
625,sad
626,sad
627,sad
628,angry
629,angry
630,angry
631,angry
632,angry
633,angry
634,angry
635,angry
636,fear
637,fear
638,fear
639,fear
640,fear
641,fear
642,fear
643,fear
644,disgust
645,disgust
646,disgust
647,disgust
648,disgust
649,disgust
650,disgust
651,disgust
652,surprised
653,surprised
654,surprised
655,surprised
656,surprised
657,surprised
658,surprised
659,surprised
660,neutral
661,neutral
662,neutral
663,neutral
664,calm
665,calm
666,calm
667,calm
668,calm
669,calm
670,calm
671,calm
672,happy
673,happy
674,happy
675,happy
676,happy
677,happy
678,happy
679,happy
680,sad
681,sad
682,sad
683,sad
684,sad
685,sad
686,sad
687,sad
688,angry
689,angry
690,angry
691,angry
692,angry
693,angry
694,angry
695,angry
696,fear
697,fear
698,fear
699,fear
700,fear
701,fear
702,fear
703,fear
704,disgust
705,disgust
706,disgust
707,disgust
708,disgust
709,disgust
710,disgust
711,disgust
712,surprised
713,surprised
714,surprised
715,surprised
716,surprised
717,surprised
718,surprised
719,surprised
720,neutral
721,neutral
722,neutral
723,neutral
724,calm
725,calm
726,calm
727,calm
728,calm
729,calm
730,calm
731,calm
732,happy
733,happy
734,happy
735,happy
736,happy
737,happy
738,happy
739,happy
740,sad
741,sad
742,sad
743,sad
744,sad
745,sad
746,sad
747,sad
748,angry
749,angry
750,angry
751,angry
752,angry
753,angry
754,angry
755,angry
756,fear
757,fear
758,fear
759,fear
760,fear
761,fear
762,fear
763,fear
764,disgust
765,disgust
766,disgust
767,disgust
768,disgust
769,disgust
770,disgust
771,disgust
772,surprised
773,surprised
774,surprised
775,surprised
776,surprised
777,surprised
778,surprised
779,surprised
780,neutral
781,neutral
782,neutral
783,neutral
784,calm
785,calm
786,calm
787,calm
788,calm
789,calm
790,calm
791,calm
792,happy
793,happy
794,happy
795,happy
796,happy
797,happy
798,happy
799,happy
800,sad
801,sad
802,sad
803,sad
804,sad
805,sad
806,sad
807,sad
808,angry
809,angry
810,angry
811,angry
812,angry
813,angry
814,angry
815,angry
816,fear
817,fear
818,fear
819,fear
820,fear
821,fear
822,fear
823,fear
824,disgust
825,disgust
826,disgust
827,disgust
828,disgust
829,disgust
830,disgust
831,disgust
832,surprised
833,surprised
834,surprised
835,surprised
836,surprised
837,surprised
838,surprised
839,surprised
840,neutral
841,neutral
842,neutral
843,neutral
844,calm
845,calm
846,calm
847,calm
848,calm
849,calm
850,calm
851,calm
852,happy
853,happy
854,happy
855,happy
856,happy
857,happy
858,happy
859,happy
860,sad
861,sad
862,sad
863,sad
864,sad
865,sad
866,sad
867,sad
868,angry
869,angry
870,angry
871,angry
872,angry
873,angry
874,angry
875,angry
876,fear
877,fear
878,fear
879,fear
880,fear
881,fear
882,fear
883,fear
884,disgust
885,disgust
886,disgust
887,disgust
888,disgust
889,disgust
890,disgust
891,disgust
892,surprised
893,surprised
894,surprised
895,surprised
896,surprised
897,surprised
898,surprised
899,surprised
900,neutral
901,neutral
902,neutral
903,neutral
904,calm
905,calm
906,calm
907,calm
908,calm
909,calm
910,calm
911,calm
912,happy
913,happy
914,happy
915,happy
916,happy
917,happy
918,happy
919,happy
920,sad
921,sad
922,sad
923,sad
924,sad
925,sad
926,sad
927,sad
928,angry
929,angry
930,angry
931,angry
932,angry
933,angry
934,angry
935,angry
936,fear
937,fear
938,fear
939,fear
940,fear
941,fear
942,fear
943,fear
944,disgust
945,disgust
946,disgust
947,disgust
948,disgust
949,disgust
950,disgust
951,disgust
952,surprised
953,surprised
954,surprised
955,surprised
956,surprised
957,surprised
958,surprised
959,surprised
960,neutral
961,neutral
962,neutral
963,neutral
964,calm
965,calm
966,calm
967,calm
968,calm
969,calm
970,calm
971,calm
972,happy
973,happy
974,happy
975,happy
976,happy
977,happy
978,happy
979,happy
980,sad
981,sad
982,sad
983,sad
984,sad
985,sad
986,sad
987,sad
988,angry
989,angry
990,angry
991,angry
992,angry
993,angry
994,angry
995,angry
996,fear
997,fear
998,fear
999,fear
1000,fear
1001,fear
1002,fear
1003,fear
1004,disgust
1005,disgust
1006,disgust
1007,disgust
1008,disgust
1009,disgust
1010,disgust
1011,disgust
1012,surprised
1013,surprised
1014,surprised
1015,surprised
1016,surprised
1017,surprised
1018,surprised
1019,surprised
1020,neutral
1021,neutral
1022,neutral
1023,neutral
1024,calm
1025,calm
1026,calm
1027,calm
1028,calm
1029,calm
1030,calm
1031,calm
1032,happy
1033,happy
1034,happy
1035,happy
1036,happy
1037,happy
1038,happy
1039,happy
1040,sad
1041,sad
1042,sad
1043,sad
1044,sad
1045,sad
1046,sad
1047,sad
1048,angry
1049,angry
1050,angry
1051,angry
1052,angry
1053,angry
1054,angry
1055,angry
1056,fear
1057,fear
1058,fear
1059,fear
1060,fear
1061,fear
1062,fear
1063,fear
1064,disgust
1065,disgust
1066,disgust
1067,disgust
1068,disgust
1069,disgust
1070,disgust
1071,disgust
1072,surprised
1073,surprised
1074,surprised
1075,surprised
1076,surprised
1077,surprised
1078,surprised
1079,surprised
1080,neutral
1081,neutral
1082,neutral
1083,neutral
1084,calm
1085,calm
1086,calm
1087,calm
1088,calm
1089,calm
1090,calm
1091,calm
1092,happy
1093,happy
1094,happy
1095,happy
1096,happy
1097,happy
1098,happy
1099,happy
1100,sad
1101,sad
1102,sad
1103,sad
1104,sad
1105,sad
1106,sad
1107,sad
1108,angry
1109,angry
1110,angry
1111,angry
1112,angry
1113,angry
1114,angry
1115,angry
1116,fear
1117,fear
1118,fear
1119,fear
1120,fear
1121,fear
1122,fear
1123,fear
1124,disgust
1125,disgust
1126,disgust
1127,disgust
1128,disgust
1129,disgust
1130,disgust
1131,disgust
1132,surprised
1133,surprised
1134,surprised
1135,surprised
1136,surprised
1137,surprised
1138,surprised
1139,surprised
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,calm
1145,calm
1146,calm
1147,calm
1148,calm
1149,calm
1150,calm
1151,calm
1152,happy
1153,happy
1154,happy
1155,happy
1156,happy
1157,happy
1158,happy
1159,happy
1160,sad
1161,sad
1162,sad
1163,sad
1164,sad
1165,sad
1166,sad
1167,sad
1168,angry
1169,angry
1170,angry
1171,angry
1172,angry
1173,angry
1174,angry
1175,angry
1176,fear
1177,fear
1178,fear
1179,fear
1180,fear
1181,fear
1182,fear
1183,fear
1184,disgust
1185,disgust
1186,disgust
1187,disgust
1188,disgust
1189,disgust
1190,disgust
1191,disgust
1192,surprised
1193,surprised
1194,surprised
1195,surprised
1196,surprised
1197,surprised
1198,surprised
1199,surprised
1200,neutral
1201,neutral
1202,neutral
1203,neutral
1204,calm
1205,calm
1206,calm
1207,calm
1208,calm
1209,calm
1210,calm
1211,calm
1212,happy
1213,happy
1214,happy
1215,happy
1216,happy
1217,happy
1218,happy
1219,happy
1220,sad
1221,sad
1222,sad
1223,sad
1224,sad
1225,sad
1226,sad
1227,sad
1228,angry
1229,angry
1230,angry
1231,angry
1232,angry
1233,angry
1234,angry
1235,angry
1236,fear
1237,fear
1238,fear
1239,fear
1240,fear
1241,fear
1242,fear
1243,fear
1244,disgust
1245,disgust
1246,disgust
1247,disgust
1248,disgust
1249,disgust
1250,disgust
1251,disgust
1252,surprised
1253,surprised
1254,surprised
1255,surprised
1256,surprised
1257,surprised
1258,surprised
1259,surprised
1260,neutral
1261,neutral
1262,neutral
1263,neutral
1264,calm
1265,calm
1266,calm
1267,calm
1268,calm
1269,calm
1270,calm
1271,calm
1272,happy
1273,happy
1274,happy
1275,happy
1276,happy
1277,happy
1278,happy
1279,happy
1280,sad
1281,sad
1282,sad
1283,sad
1284,sad
1285,sad
1286,sad
1287,sad
1288,angry
1289,angry
1290,angry
1291,angry
1292,angry
1293,angry
1294,angry
1295,angry
1296,fear
1297,fear
1298,fear
1299,fear
1300,fear
1301,fear
1302,fear
1303,fear
1304,disgust
1305,disgust
1306,disgust
1307,disgust
1308,disgust
1309,disgust
1310,disgust
1311,disgust
1312,surprised
1313,surprised
1314,surprised
1315,surprised
1316,surprised
1317,surprised
1318,surprised
1319,surprised
1320,neutral
1321,neutral
1322,neutral
1323,neutral
1324,calm
1325,calm
1326,calm
1327,calm
1328,calm
1329,calm
1330,calm
1331,calm
1332,happy
1333,happy
1334,happy
1335,happy
1336,happy
1337,happy
1338,happy
1339,happy
1340,sad
1341,sad
1342,sad
1343,sad
1344,sad
1345,sad
1346,sad
1347,sad
1348,angry
1349,angry
1350,angry
1351,angry
1352,angry
1353,angry
1354,angry
1355,angry
1356,fear
1357,fear
1358,fear
1359,fear
1360,fear
1361,fear
1362,fear
1363,fear
1364,disgust
1365,disgust
1366,disgust
1367,disgust
1368,disgust
1369,disgust
1370,disgust
1371,disgust
1372,surprised
1373,surprised
1374,surprised
1375,surprised
1376,surprised
1377,surprised
1378,surprised
1379,surprised
1380,neutral
1381,neutral
1382,neutral
1383,neutral
1384,calm
1385,calm
1386,calm
1387,calm
1388,calm
1389,calm
1390,calm
1391,calm
1392,happy
1393,happy
1394,happy
1395,happy
1396,happy
1397,happy
1398,happy
1399,happy
1400,sad
1401,sad
1402,sad
1403,sad
1404,sad
1405,sad
1406,sad
1407,sad
1408,angry
1409,angry
1410,angry
1411,angry
1412,angry
1413,angry
1414,angry
1415,angry
1416,fear
1417,fear
1418,fear
1419,fear
1420,fear
1421,fear
1422,fear
1423,fear
1424,disgust
1425,disgust
1426,disgust
1427,disgust
1428,disgust
1429,disgust
1430,disgust
1431,disgust
1432,surprised
1433,surprised
1434,surprised
1435,surprised
1436,surprised
1437,surprised
1438,surprised
1439,surprised
